 # The filling factors of cosmological HII/HeIII regions and the ensuing electron scattering optical depth
 #
 # The following 11 lines are model identification flags 
 # CUBA V6.3 Nov 2011
 # 0.1000E+01
 # 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
 # 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
 # 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
 # 0.1000E+01
 # Inputs/salp_SFRD1parfit.hiz.dat
 # Inputs/column_dist.dat
 # 0.1000E+01
 # 0.1800E-03 0.3400E+01
 # 0.1000E+02
 #
 # The following 3 lines are column identification labels
 # z=redshift, Q_HII=ionized hydrogen filling factor, Q_HeIII=doubly ionized helium filling factor,
 # tau_es= (HII+HeII+HeIII) electron scattering optical depth from z to infinity
 #   z         Q_HII     Q_HeIII    tau_es

 0.1080E+02 0.4070E+00 0.8541E-04 0.1207E-01
 0.1075E+02 0.4126E+00 0.8732E-04 0.1230E-01
 0.1070E+02 0.4181E+00 0.8923E-04 0.1253E-01
 0.1065E+02 0.4236E+00 0.9115E-04 0.1277E-01
 0.1060E+02 0.4292E+00 0.9306E-04 0.1300E-01
 0.1055E+02 0.4347E+00 0.9497E-04 0.1323E-01
 0.1050E+02 0.4403E+00 0.9688E-04 0.1346E-01
 0.1045E+02 0.4458E+00 0.9895E-04 0.1369E-01
 0.1040E+02 0.4518E+00 0.1016E-03 0.1395E-01
 0.1035E+02 0.4578E+00 0.1043E-03 0.1422E-01
 0.1030E+02 0.4637E+00 0.1070E-03 0.1448E-01
 0.1025E+02 0.4697E+00 0.1097E-03 0.1475E-01
 0.1020E+02 0.4757E+00 0.1123E-03 0.1501E-01
 0.1015E+02 0.4817E+00 0.1150E-03 0.1528E-01
 0.1010E+02 0.4877E+00 0.1177E-03 0.1554E-01
 0.1005E+02 0.4937E+00 0.1204E-03 0.1581E-01
 0.1000E+02 0.4996E+00 0.1230E-03 0.1607E-01
 0.9950E+01 0.5056E+00 0.1257E-03 0.1634E-01
 0.9900E+01 0.5116E+00 0.1284E-03 0.1660E-01
 0.9850E+01 0.5179E+00 0.1324E-03 0.1689E-01
 0.9800E+01 0.5241E+00 0.1363E-03 0.1718E-01
 0.9750E+01 0.5304E+00 0.1403E-03 0.1748E-01
 0.9700E+01 0.5367E+00 0.1442E-03 0.1777E-01
 0.9650E+01 0.5430E+00 0.1482E-03 0.1806E-01
 0.9600E+01 0.5492E+00 0.1521E-03 0.1835E-01
